!infinitiv	wir/sie/Sie	ich	du	er/es/sie	ihr	wir/sie/Sie(past)	ich	du	er/es/sie	ihr	pp	wir/sie/Sie(I)	ich	du	er/es/sie	ihr	wir/sie/Sie(II)	ich	du	er/es/sie	ihr	hifsverb	lecture
antworten	antworten	antworte	antwortest,antwortst	antwortet	antwortet	antworteten	antwortete	antwortetest	antwortete	antwortetet	geantwortet											haben	
arbeiten	arbeiten	arbeite	arbeitest	arbeitet	arbeitet	arbeiteten	arbeitete	arbeitetest	arbeitete	arbeitetet	gearbeitet											haben	
bauen	bauen	baue	baust	baut	baut	bauten	baute	bautest	baute	bautet	gebaut											haben	
beeindrucken	beeindrucken	beeindrucke	beeindruckst	beeindruckt	beeindruckt	beeindruckten	beeindruckte	beeindrucktest	beeindruckte	beeindrucktet	beeindruckt											haben	
bekommen	bekommen	bekomme	bekommst	bekommt	bekommt	bekamen	bekam	bekamst	bekam	bekamt	gekommen											haben	
belügen	belügen	belüge	belügst	belügt	belügt	belogen	belog	belogst	belog	belogt	belogen											haben	
benutzen	benutzen	benutze	benutzt	benutzt	benutzt	benutzten	benutzte	benutztest	benutzte	benutztet	benutzt											haben	
besuchen	besuchen	besuche	besuchst	besucht	besucht	besuchten	besuchte	besuchtest	besuchte	besuchtet	besucht											haben	
bleiben	bleiben	bleibe	bleibst	bleibt	bleibt	blieben	blieb	bliebst	blieb	bliebt	geblieben											sein	
brauchen	brauchen	brauche	brauchst	braucht	braucht	brauchten	brauchte	brauchtest	brauchte	brauchtet	gebraucht											haben	
bringen	bringen	bringe	bringst	bringt	bringt	brachten	brachte	brachtest	brachte	brachtet	gebracht											haben	
danken	danken	danke	dankst	dankt	dankt	dankten	dankte	danktest	dankte	danktet	gedankt											haben	
denken	denken	denke	denst	denkt	denkt	dachten	dachte	dachtest	dachte	dachtet	gedacht											haben	
dürfen	dürfen	darf	darfst	darf	dürft	durften	durfte	durftest	durfte	durftet	gedurft											haben	
